visitorid,no_views,no_addtocart,no_transaction,time_spent_minutes
82282,1,0,0,0.0000
82405,1,0,0,0.0000
82531,1,0,0,0.0000
82627,1,0,0,0.0000
82767,1,0,0,0.0000
82840,1,0,0,0.0000
83008,1,0,0,0.0000
83034,1,0,0,0.0000
83101,1,0,0,0.0000
83260,1,0,0,0.0000
83684,1,0,0,0.0000
83757,2,0,0,3.4709
83821,1,0,0,0.0000
83998,1,0,0,0.0000
84327,5,0,1,148.2363
84497,1,0,0,0.0000
84568,1,0,0,0.0000
84679,1,0,0,0.0000
85008,1,0,0,0.0000
85033,1,0,0,0.0000
85130,1,0,0,0.0000
85153,2,0,0,6.3800
85188,1,0,0,0.0000
85211,1,0,0,0.0000
85404,2,0,0,12.5120
85680,1,0,0,0.0000
85734,22,0,0,443.5050
85918,1,0,0,0.0000
85924,1,0,0,0.0000
86106,1,0,0,0.0000
86190,2,0,0,1.3955
86467,1,0,0,0.0000
86707,1,0,0,0.0000
86914,1,0,0,0.0000
87043,1,0,0,0.0000
87057,1,0,0,0.0000
87112,3,0,0,113.9715
87977,1,0,0,0.0000
88256,1,0,0,0.0000
88292,1,0,0,0.0000
88329,1,0,0,0.0000
88336,1,0,0,0.0000
88358,1,0,0,0.0000
88668,1,0,0,0.0000
88841,3,1,0,18.4385
88877,1,0,0,0.0000
88966,1,0,0,0.0000
89089,4,0,0,105.8243
89189,1,0,0,0.0000
89333,1,0,0,0.0000
89370,1,0,0,0.0000
89475,1,0,0,0.0000
89531,1,0,0,0.0000
89713,1,0,0,0.0000
89830,1,0,0,0.0000
89927,1,0,0,0.0000
89941,1,0,0,0.0000
90162,1,0,0,0.0000
90238,1,0,0,0.0000
90289,1,0,0,0.0000
90612,1,0,0,0.0000
90629,1,0,0,0.0000
90669,2,0,0,0.7437
90886,1,0,0,0.0000
90969,1,0,0,0.0000
91153,1,0,0,0.0000
91170,1,0,0,0.0000
91199,1,0,0,0.0000
91786,2,0,0,1.0062
91853,1,0,0,0.0000
91924,1,0,0,0.0000
91929,1,0,0,0.0000
92187,1,0,0,0.0000
92468,2,0,0,1.1731
93191,1,0,0,0.0000
93347,2,0,0,97.6332
93582,2,0,0,0.8313
93793,1,0,0,0.0000
93970,2,0,0,2.6270
94077,1,0,0,0.0000
94760,1,0,0,0.0000
94912,2,0,0,2.7515
94920,1,0,0,0.0000
95091,3,0,0,4.4070
95123,1,0,0,0.0000
95134,1,0,0,0.0000
95535,1,0,0,0.0000
95710,1,0,0,0.0000
95794,2,0,0,2.7004
95902,1,0,0,0.0000
95935,1,0,0,0.0000
95994,2,1,0,1.0409
96054,1,0,0,0.0000
96154,1,0,0,0.0000
96398,2,0,0,2.1845
96426,1,1,0,1.2167
96741,2,0,0,0.5160
96793,1,0,0,0.0000
96806,1,1,0,0.2652
96851,1,0,0,0.0000
96960,1,0,0,0.0000
97052,1,0,0,0.0000
97140,3,0,0,73.0171
97242,1,0,0,0.0000
97383,2,0,0,1.2612
97499,1,0,0,0.0000
97540,1,0,0,0.0000
97921,1,0,0,0.0000
97958,1,0,0,0.0000
97993,1,0,0,0.0000
98152,1,0,0,0.0000
98357,1,0,0,0.0000
98452,1,0,0,0.0000
98643,8,0,0,1.9230
98881,1,0,0,0.0000
99324,1,0,0,0.0000
99611,1,0,0,0.0000
99614,1,0,0,0.0000
99666,1,0,0,0.0000
99830,9,2,0,9.0882
100058,1,0,0,0.0000
100366,4,0,0,3.3237
100480,2,0,0,0.1805
100770,10,0,0,465.0927
100793,1,0,0,0.0000
100875,1,0,0,0.0000
100940,1,0,0,0.0000
100985,1,0,0,0.0000
101094,1,0,0,0.0000
101232,2,0,0,0.2711
101414,1,0,0,0.0000
101557,1,0,0,0.0000
101675,2,0,0,1.6625
101690,1,0,0,0.0000
101700,2,0,0,225.9882
101772,1,0,0,0.0000
101819,1,0,0,0.0000
101896,1,0,0,0.0000
102019,2,0,1,14.0256
102363,8,1,0,84.7141
102742,1,0,0,0.0000
103375,1,0,0,0.0000
103440,1,0,0,0.0000
103547,1,0,0,0.0000
103672,1,0,0,0.0000
103977,1,0,0,0.0000
104050,3,0,0,37.1595
104240,1,0,0,0.0000
104249,1,0,0,0.0000
104275,1,0,0,0.0000
104529,1,0,0,0.0000
104599,1,0,0,0.0000
105017,1,0,0,0.0000
105329,1,0,0,0.0000
105463,1,0,0,0.0000
105479,1,0,0,0.0000
105518,1,0,0,0.0000
105775,2,1,0,2.7262
106384,1,0,0,0.0000
106746,2,0,0,3.3081
106748,1,0,0,0.0000
106890,1,0,0,0.0000
106989,1,0,0,0.0000
107121,1,0,0,0.0000
107130,1,0,0,0.0000
107140,1,0,0,0.0000
107298,7,0,0,20.2825
107774,1,0,0,0.0000
107897,1,0,0,0.0000
107975,1,0,0,0.0000
108038,1,0,0,0.0000
108118,1,0,0,0.0000
108890,2,0,0,1.5076
109016,2,0,0,1.3863
109318,1,0,0,0.0000
109331,1,0,0,0.0000
109392,1,0,0,0.0000
109429,1,0,0,0.0000
109484,1,0,0,0.0000
109785,3,0,0,3.1446
109940,1,0,0,0.0000
109963,2,0,0,16.2113
110015,1,0,0,0.0000
110111,1,0,0,0.0000
110284,1,0,0,0.0000
110339,1,0,0,0.0000
110401,1,0,0,0.0000
110582,2,0,0,0.1479
110620,1,0,0,0.0000
110877,1,0,0,0.0000
110929,1,0,0,0.0000
111016,1,0,0,0.0000
111134,3,1,0,13.5831
111566,2,0,0,686.0632
111587,1,0,0,0.0000
112175,1,0,0,0.0000
112347,1,0,0,0.0000
112626,1,0,0,0.0000
113089,1,0,0,0.0000
113274,1,0,0,0.0000
113281,1,0,0,0.0000
113298,1,0,0,0.0000
113397,1,0,0,0.0000
113711,2,0,0,0.6031
113741,1,0,0,0.0000
113819,1,0,0,0.0000
113896,1,0,0,0.0000
114134,1,0,0,0.0000
114471,2,0,0,1.9023
114473,2,0,0,39.5881
114581,1,0,0,0.0000
114598,1,0,0,0.0000
115171,1,0,0,0.0000
115294,1,0,0,0.0000
115304,1,0,0,0.0000
115442,1,0,0,0.0000
115713,1,0,0,0.0000
115852,9,0,0,21.0150
116206,2,0,0,20.1866
116410,1,0,0,0.0000
116462,1,0,0,0.0000
116767,1,0,0,0.0000
116812,1,0,0,0.0000
116952,2,0,0,1.6941
116991,1,0,0,0.0000
117022,1,0,0,0.0000
117138,1,0,0,0.0000
117193,2,0,0,0.5820
117341,1,0,0,0.0000
117384,1,0,0,0.0000
117405,1,0,0,0.0000
117494,1,0,0,0.0000
117529,1,0,0,0.0000
117667,1,0,0,0.0000
117895,1,0,0,0.0000
117926,2,0,0,0.8711
117978,1,0,0,0.0000
118053,7,0,0,20.3139
118298,1,0,0,0.0000
118343,1,0,0,0.0000
118384,4,0,0,5.9514
118509,1,0,0,0.0000
118558,1,0,0,0.0000
118580,1,0,0,0.0000
118745,1,0,0,0.0000
118784,3,0,0,61.0767
119444,3,0,0,11.6435
119706,1,0,0,0.0000
119927,1,0,0,0.0000
120298,1,0,0,0.0000
120422,1,0,0,0.0000
120637,1,0,0,0.0000
120723,5,0,0,10.3815
120979,1,0,0,0.0000
121134,1,0,0,0.0000
121354,1,0,0,0.0000
121492,2,1,0,9.9324
121688,10,6,4,79.2362
121698,3,0,0,50.5537
121810,1,0,0,0.0000
121811,1,0,0,0.0000
121914,1,0,0,0.0000
121975,1,0,0,0.0000
122149,1,0,0,0.0000
122197,1,0,0,0.0000
122247,1,0,0,0.0000
122350,1,0,0,0.0000
122629,4,0,0,23.8203
122630,1,0,0,0.0000
122910,1,0,0,0.0000
122945,1,0,0,0.0000
123012,1,0,0,0.0000
123037,1,0,0,0.0000
123038,2,0,0,0.3676
123053,1,0,0,0.0000
123300,1,0,0,0.0000
123428,2,0,0,0.3081
123730,1,0,0,0.0000
123949,1,0,0,0.0000
124132,1,0,0,0.0000
124277,1,0,0,0.0000
124321,1,0,0,0.0000
124852,1,0,0,0.0000
125034,1,0,0,0.0000
125122,1,0,0,0.0000
125190,1,0,0,0.0000
125355,1,0,0,0.0000
125473,2,0,0,2.3817
125625,3,0,0,19.1009
126191,1,0,0,0.0000
126382,1,0,0,0.0000
126495,1,0,0,0.0000
126622,2,0,0,5.3585
126882,1,0,0,0.0000
126887,1,0,0,0.0000
127113,8,0,0,34.4226
127137,1,0,0,0.0000
127229,3,0,0,8.1611
127255,1,0,0,0.0000
127337,4,0,0,8.8050
127547,3,0,0,9.4011
127766,1,0,0,0.0000
127978,1,0,0,0.0000
128047,1,0,0,0.0000
128269,1,0,0,0.0000
128809,1,0,0,0.0000
129421,1,0,0,0.0000
129621,1,0,0,0.0000
129657,2,0,0,48.5977
129678,1,0,0,0.0000
129681,1,0,0,0.0000
129729,1,0,0,0.0000
130434,8,0,0,67.9209
130458,1,0,0,0.0000
130705,1,0,0,0.0000
130734,5,0,0,51.1163
130999,1,0,0,0.0000
131019,1,0,0,0.0000
131086,2,0,0,2.0607
131216,1,0,0,0.0000
131281,1,0,0,0.0000
131367,1,0,0,0.0000
131455,1,0,0,0.0000
131868,1,0,0,0.0000
131869,1,1,0,2.2228
132041,1,0,0,0.0000
132188,1,0,0,0.0000
132396,2,0,0,0.2274
132480,1,0,0,0.0000
132550,1,0,0,0.0000
132736,3,0,0,8.1547
132842,7,0,0,16.4371
132864,1,0,0,0.0000
132949,1,0,0,0.0000
133192,1,0,0,0.0000
133266,1,0,0,0.0000
133332,1,0,0,0.0000
133400,1,0,0,0.0000
133583,1,0,0,0.0000
133627,1,0,0,0.0000
133754,1,0,0,0.0000
133812,1,0,0,0.0000
133884,1,0,0,0.0000
134927,1,0,0,0.0000
135096,1,0,0,0.0000
135210,1,0,0,0.0000
135311,1,0,0,0.0000
135445,1,0,0,0.0000
135537,1,0,0,0.0000
135796,1,0,0,0.0000
135797,1,0,0,0.0000
135951,1,0,0,0.0000
136031,2,0,0,0.9802
136414,1,0,0,0.0000
136940,1,0,0,0.0000
137115,1,0,0,0.0000
137275,2,0,0,0.0003
137322,2,0,0,0.1873
137352,1,0,0,0.0000
137869,1,0,0,0.0000
138002,1,0,0,0.0000
138067,1,0,0,0.0000
138131,16,2,3,545.3140
138175,1,0,0,0.0000
138176,1,0,0,0.0000
138408,1,0,0,0.0000
138500,1,0,0,0.0000
138563,2,0,0,1.4713
138565,8,0,0,87.0398
138613,1,0,0,0.0000
138674,1,0,0,0.0000
138929,3,0,0,237.2236
138975,1,0,0,0.0000
138996,1,0,0,0.0000
139019,1,0,0,0.0000
139032,1,0,0,0.0000
139266,1,0,0,0.0000
139314,2,0,0,9.1776
139401,1,0,0,0.0000
139479,1,0,0,0.0000
139520,1,0,0,0.0000
139579,1,0,0,0.0000
139618,1,0,0,0.0000
139737,3,1,0,2.4924
139857,4,0,0,94.7203
139930,1,0,0,0.0000
140198,1,0,0,0.0000
140279,0,1,0,0.0000
140379,1,0,0,0.0000
140488,2,0,0,2.0279
140770,1,0,0,0.0000
140803,1,0,0,0.0000
141071,1,0,0,0.0000
141084,1,0,0,0.0000
141380,1,0,0,0.0000
141409,1,0,0,0.0000
141581,2,0,0,6.1165
141591,6,0,0,5.0692
141831,2,0,0,6.9712
141891,1,0,0,0.0000
142289,1,0,0,0.0000
142773,1,0,0,0.0000
143101,1,0,0,0.0000
143311,1,0,0,0.0000
143326,1,0,0,0.0000
143396,1,0,0,0.0000
143698,1,0,0,0.0000
143901,1,0,0,0.0000
143981,1,0,0,0.0000
144026,1,0,0,0.0000
144315,1,0,0,0.0000
144478,3,1,0,9.4257
144914,1,0,0,0.0000
144977,1,0,0,0.0000
145025,4,0,0,0.3312
145284,1,0,0,0.0000
145306,1,0,0,0.0000
145520,1,0,0,0.0000
145572,4,0,0,76.6605
145593,1,0,0,0.0000
145819,2,0,0,0.6666
145938,1,0,0,0.0000
145959,1,0,0,0.0000
146139,1,0,0,0.0000
146174,1,0,0,0.0000
146348,2,0,0,27.5499
146389,1,0,0,0.0000
146525,2,0,0,12.2531
146652,1,0,0,0.0000
146879,1,0,0,0.0000
146938,1,0,0,0.0000
146980,2,0,0,1.2735
147412,1,0,0,0.0000
147438,1,0,0,0.0000
147544,1,0,0,0.0000
147800,1,0,0,0.0000
147859,1,0,0,0.0000
148375,6,0,0,9.5178
148513,1,0,0,0.0000
148801,1,0,0,0.0000
148842,2,0,0,1.4516
149160,1,0,0,0.0000
149194,1,0,0,0.0000
149279,2,0,0,15.0962
149455,2,0,0,0.5675
149457,1,0,0,0.0000
149910,1,0,0,0.0000
150186,1,0,0,0.0000
150330,1,0,0,0.0000
150333,1,0,0,0.0000
150377,1,0,0,0.0000
150420,1,0,0,0.0000
150593,1,0,0,0.0000
150651,1,0,0,0.0000
150713,1,0,0,0.0000
150751,1,0,0,0.0000
150911,2,0,0,1.1677
151100,1,0,0,0.0000
151491,1,0,0,0.0000
151930,1,0,0,0.0000
151958,1,0,0,0.0000
152029,1,0,0,0.0000
152030,1,0,0,0.0000
152164,2,0,0,3.5560
152407,1,0,0,0.0000
152525,1,0,0,0.0000
152540,1,0,0,0.0000
152567,4,0,0,81.7050
152722,1,0,0,0.0000
152868,1,0,0,0.0000
153171,1,0,0,0.0000
153419,1,0,0,0.0000
153527,2,0,0,25.4654
153715,1,0,0,0.0000
153977,1,0,0,0.0000
154000,1,0,0,0.0000
154263,1,0,0,0.0000
154317,1,0,0,0.0000
154344,1,0,0,0.0000
154348,1,0,0,0.0000
154784,2,0,0,2.3252
154926,1,0,0,0.0000
155006,4,0,0,20.1063
155046,1,0,0,0.0000
155073,1,0,0,0.0000
155379,1,0,0,0.0000
155417,3,0,0,0.3908
155590,5,0,0,8.5418
155844,1,0,0,0.0000
155896,1,0,0,0.0000
